
0it [00:00, ?it/s]
1it [00:04,  4.19s/it]
2it [00:07,  3.82s/it]
3it [00:10,  3.48s/it]
4it [00:14,  3.40s/it]
5it [00:16,  3.18s/it]
6it [00:22,  3.92s/it]
7it [00:34,  6.76s/it]
8it [00:39,  6.09s/it]
9it [00:42,  5.12s/it]
10it [00:45,  4.36s/it]
11it [00:48,  3.98s/it]
12it [00:52,  3.93s/it]
13it [00:55,  3.65s/it]
14it [01:00,  4.04s/it]
15it [01:12,  6.53s/it]
16it [01:15,  5.42s/it]
17it [01:18,  4.67s/it]
18it [01:21,  4.16s/it]
19it [01:24,  3.82s/it]
20it [01:26,  3.54s/it]
21it [01:29,  3.29s/it]
22it [01:32,  3.15s/it]
23it [01:37,  3.58s/it]
24it [01:40,  3.48s/it]
25it [01:45,  3.88s/it]
26it [01:49,  4.14s/it]
27it [01:52,  3.81s/it]
28it [01:55,  3.53s/it]
29it [01:58,  3.42s/it]
30it [02:01,  3.27s/it]
31it [02:05,  3.27s/it]
32it [02:09,  3.47s/it]
33it [02:14,  4.02s/it]
34it [02:17,  3.73s/it]
35it [02:22,  3.99s/it]
36it [02:25,  3.97s/it]
37it [02:28,  3.65s/it]
38it [02:31,  3.36s/it]
39it [02:46,  6.87s/it]
40it [02:49,  5.79s/it]
41it [02:53,  5.09s/it]
42it [02:57,  4.79s/it]
43it [03:00,  4.34s/it]
44it [03:03,  3.98s/it]
45it [03:06,  3.70s/it]
46it [03:10,  3.54s/it]
47it [03:12,  3.28s/it]
48it [03:21,  4.79s/it]
49it [03:25,  4.61s/it]
50it [03:29,  4.52s/it]
51it [03:32,  4.13s/it]
52it [03:36,  4.09s/it]
53it [03:45,  5.40s/it]
54it [03:48,  4.65s/it]
55it [03:53,  4.95s/it]
56it [03:56,  4.37s/it]
57it [03:59,  3.86s/it]
58it [04:03,  4.02s/it]
59it [04:08,  4.28s/it]
60it [04:12,  4.06s/it]
61it [04:15,  3.76s/it]
62it [04:18,  3.47s/it]
63it [04:21,  3.49s/it]
64it [04:24,  3.37s/it]
65it [04:27,  3.26s/it]
66it [04:31,  3.26s/it]
67it [04:34,  3.34s/it]
68it [04:39,  3.80s/it]
69it [04:47,  5.04s/it]
70it [04:50,  4.51s/it]
71it [04:53,  4.03s/it]
72it [04:59,  4.46s/it]
73it [05:03,  4.34s/it]
74it [05:09,  5.00s/it]
75it [05:12,  4.49s/it]
76it [05:16,  4.22s/it]
77it [05:19,  3.86s/it]
78it [05:25,  4.37s/it]
79it [05:28,  4.19s/it]
80it [05:32,  4.07s/it]
81it [05:36,  3.88s/it]
82it [05:39,  3.66s/it]
83it [05:43,  3.86s/it]
84it [05:48,  4.14s/it]
